,TARGET
cloud_cover_percentage_roll_std_24h,-0.010522955824592308
cloud_cover_percentage_roll_std_12h,-0.010838236734362154
cloud_cover_percentage_roll_mean_12h,-0.012663882570479354
dayofyear_cos,-0.014167463593816425
cloud_cover_percentage_roll_mean_24h,-0.01472172330514793
Relative humidity (%)_roll_mean_24h,-0.01681286101704792
dayofyear_sin,-0.0228320405445172
dayofweek_cos,-0.024582739206560532
Relative humidity (%)_roll_mean_6h,-0.02920219195324132
season_Winter,-0.03556062940452698
Relative humidity (%)_lag_3h,-0.040514666279024704
hour_x_dayofweek,-0.04693793298974707
hdd,-0.053940216277893915
Relative humidity (%)_lag_2h,-0.06253525962775716
Relative humidity (%)_roll_mean_3h,-0.06269938427483245
air temperature_x_is_weekend,-0.06443256605457957
Relative humidity (%)_lag_1h,-0.08136377595115309
hour_sin,-0.08509152950275407
log_building_size_m2_x_hour_sin,-0.08824917369205651
building_size_m2_x_hour_sin,-0.09304838132234676
Relative humidity (%),-0.09548264959070525
Relative humidity (%)_lag_24h,-0.09640608944858951
dayofweek,-0.1295257419613692
is_weekend,-0.1509196190355193
hour_cos,-0.24248048647336345
log_building_size_m2_x_hour_cos,-0.2554620707569656
building_size_m2_x_hour_cos,-0.29242122207055227
Mean wind direction,
Unnamed: 9,
is_drifting,
is_fog,
is_freezing_precip,
is_grains,
is_mist,
is_rain,
is_shower,
is_snow,
weather phenomena,
year,
